DC.identifier,DC.source,DC.date,DC.title,DC.publisher,filename_html,filename,n_tokens
816432,https://www.berlin.de/ba-charlottenburg-wilmersdorf/aktuelles/pressemitteilungen/2019/pressemitteilung.816432.php,03.06.2019,"Ausstellung „Zweites Leben“ - Du weißt meinen Namen, aber nicht meine Geschichte",Bezirksamt Charlottenburg-Wilmersdorf,816432.html,816432.txt,1374
816413,https://www.berlin.de/ba-mitte/aktuelles/pressemitteilungen/2019/pressemitteilung.816413.php,03.06.2019,Grillverbot für den Monbijoupark besteht weiterhin,Bezirksamt Mitte,816413.html,816413.txt,843
816399,https://www.berlin.de/ba-steglitz-zehlendorf/aktuelles/pressemitteilungen/2019/pressemitteilung.816399.php,03.06.2019,BVV: 10. öffentliche Sitzung des Ausschusses für Straßenverkehr und Tiefbau am 05.06.2019,Bezirksamt Steglitz-Zehlendorf,816399.html,816399.txt,699
816830,https://www.berlin.de/ba-spandau/aktuelles/pressemitteilungen/2019/pressemitteilung.816830.php,03.06.2019,Erweiterung des Kletter- und Balancierangebots auf dem Spielplatz Schmidt-Knobelsdorf-Straße,Bezirksamt Spandau,816830.html,816830.txt,640
816824,https://www.berlin.de/ba-spandau/aktuelles/pressemitteilungen/2019/pressemitteilung.816824.php,03.06.2019,Nun heißt es auch auf dem Spielplatz Jugendweg: „Wasser marsch“,Bezirksamt Spandau,816824.html,816824.txt,698
816823,https://www.berlin.de/ba-spandau/aktuelles/pressemitteilungen/2019/pressemitteilung.816823.php,03.06.2019,Mäh- und Baumarbeiten im Sommer in Spandau 2019,Bezirksamt Spandau,816823.html,816823.txt,803
816273,https://www.berlin.de/ba-mitte/aktuelles/pressemitteilungen/2019/pressemitteilung.816273.php,03.06.2019,Der Umweltpreis Berlin-Mitte 2019 wurde verliehen!,Bezirksamt Mitte,816273.html,816273.txt,1044
816260,https://www.berlin.de/wahlen/pressemitteilungen/2019/pressemitteilung.816260.php,03.06.2019,Landeswahlausschuss stellt am 6. Juni das Ergebnis im Land Berlin fest,Landeswahlleitung,816260.html,816260.txt,460
816232,https://www.berlin.de/ba-spandau/aktuelles/pressemitteilungen/2019/pressemitteilung.816232.php,03.06.2019,Sprechstundenausfall im Jugendamt,Bezirksamt Spandau,816232.html,816232.txt,512
816213,https://www.berlin.de/ba-treptow-koepenick/aktuelles/pressemitteilungen/2019/pressemitteilung.816213.php,03.06.2019,Verkehrsunfallflucht – Polizei Berlin sucht Zeugen,Bezirksamt Treptow-Köpenick,816213.html,816213.txt,944
813282,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2019/pressemitteilung.813282.php,03.06.2019,Ausstellungseröffnung „ausgegrenzt – verfolgt – ermordet“ im Bezirksmuseum Marzahn –Hellersdorf,Bezirksamt Marzahn-Hellersdorf,813282.html,813282.txt,858
812583,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2019/pressemitteilung.812583.php,03.06.2019,Tatort 110 – TV-Kommissare lesen mit Kult-Kommissar Overbeck im FFM,Bezirksamt Marzahn-Hellersdorf,812583.html,812583.txt,693
810612,https://www.berlin.de/ba-marzahn-hellersdorf/aktuelles/pressemitteilungen/2019/pressemitteilung.810612.php,03.06.2019,"KUNST: offen! - Tag der offenen Ateliers, Werkstätten und Galerien in Marzahn-Hellersdorf",Bezirksamt Marzahn-Hellersdorf,810612.html,810612.txt,633
